Score,Latitude,Longitude,Location,Price,Size,Title,Matched Criteria,Penalties,URL,Description
46,43.11593,23.393021,"v. Миланово, област София, Bulgaria",49 500 € (181 €/m 2 ) Цената е с включено ДДС,273 кв.м,"Продава КЪЩА област София, с. Миланово Обява: 1j177919729552959","+нова(+12), +гараж(+10), +ток(+10), +вода(+10), +двор(+4)",,https://www.imot.bg/obiava-1j177919729552959-prodava-kashta-oblast-sofiya-s-milanovo,"ЗК REAL ESTATE, ви представя еднофамилна къща в забележителното село Миланово. Къщата е строена в края на 90-те години, здраво монолитно строителство, с застроена площ на етаж от 91 м2 или обща площ на всички етажи 273 м2. Двор: 520 м2 Състои се от: ..."
45,42.9126669,23.87148,"v. Разлив, област София, Bulgaria",49 000 € (942 €/m 2 ) Не се начислява ДДС История на цената,52 кв.м,"Продава КЪЩА област София, с. Разлив Обява: 1j175999198941505","+акт 16(+25), +ток(+10), +вода(+10)",,https://www.imot.bg/obiava-1j175999198941505-prodava-kashta-oblast-sofiya-s-razliv,"JJCorporation предлага на Вашето внимание къща в с. Разлив, община Правец, разположена в непосредствена близост до голф игрище Правец, едва на около 60 км от София. Районът е изключително живописен, с чист въздух, красива природа и спокойна среда, съ..."
40,42.5906044,23.9317217,"v. Каменица, област София, Bulgaria",32 000 € (400 €/m 2 ) Цената е с включено ДДС История на цената,80 кв.м,"Продава КЪЩА област София, с. Каменица Обява: 1j178419248084002","+нова(+12), +ток(+10), +вода(+10), +панорама(+4), +двор(+4)",,https://www.imot.bg/obiava-1j178419248084002-prodava-kashta-oblast-sofiya-s-kamenitsa,"Агенция SUPRIMMO: www.suprimmo.bg Продава се атрактивен планински имот с площ от 1500 кв.м, застроена къща и плевня в живописната махала Брестака (Скумца) на село Каменица, община Мирково, Софийска област. Имот с огромен потенциал, панорама и спокойс..."
37,42.730173,23.052914,"v. Мала Раковица, област София, Bulgaria",29 000 € (1 261 €/m 2 ) Не се начислява ДДС История на цената,23 кв.м,"Продава ВИЛА област София, с. Мала Раковица Обява: 1k159579309449284","+ток(+10), +вода(+10), +целогодишен достъп(+12), +сонда(+5)",,https://www.imot.bg/obiava-1k159579309449284-prodava-vila-oblast-sofiya-s-mala-rakovitsa,РиълНет офис Партнерс продава малка вила в м. Витошица в близост до Клисурския манастир до Банкя. Сградата е със застроена площ от 23 кв.м. разпредекени в две помещения   дневна с кухненски кът /дървена/ и спалня /масивна/. Отделно има външна тоалетн...
36,43.016248,23.047016,"t. Годеч, област София, Bulgaria",32 000 € (400 €/m 2 ) Цената е с включено ДДС История на цената,80 кв.м,"Продава КЪЩА област София, гр. Годеч Обява: 1j176519760275383","+ток(+10), +вода(+10), +целогодишен достъп(+12), +двор(+4)",,https://www.imot.bg/obiava-1j176519760275383-prodava-kashta-oblast-sofiya-gr-godech,"ЕРА Надежда продава къща в село Каленовци, град Годеч с площ 60 кв.м., двор с площ 870 кв.м. Предлагаме за продажба имот с отличен потенциал, разположен в спокойно и обитаемо село, недалеч от столицата, с постоянно живеещи съседи. Къщата е с площ от ..."
36,42.994363,23.090871,"v. Шума, област София, Bulgaria",39 000 € (390 €/m 2 ) Не се начислява ДДС История на цената,100 кв.м,"Продава КЪЩА област София, с. Шума махала Странето Обява: 1j178250479798940","+ток(+10), +вода(+10), +целогодишен достъп(+12), +двор(+4)",,https://www.imot.bg/obiava-1j178250479798940-prodava-kashta-oblast-sofiya-s-shuma-mahala-straneto,"Агенция за недвижими имоти АС 'Джей-Ди'има възможност да предложи на своите клиенти: Уединена къща с целогодишен достъп на 42 км от София /30 минути/ и на 5 км от гр. Годеч.Имотът се състои от къща на три нива от 1980г./сутерен от 10 кв метра,първи е..."
36,42.98989,23.37112,"v. Желен, област София, Bulgaria",33 000 € (550 €/m 2 ) Не се начислява ДДС История на цената,60 кв.м,"Продава КЪЩА област София, с. Желен Обява: 1j178592253850614","+ток(+10), +вода(+10), +асфалт(+8), +панорама(+4), +двор(+4)",,https://www.imot.bg/obiava-1j178592253850614-prodava-kashta-oblast-sofiya-s-zhelen#playertag,"Продава се къща с двор в с. Желен, общ. Своге. Село Желен се намира само на 40 км. от София и на 7 км. от гр. Своге и на около 30 мин. пеша от ЖП Гара с. Желен. В селото и до имота има целогодишно живеещо население. Парцелът е с квадратура 594 кв.м.,..."
36,42.989721,23.371472,"v. Желен, област София, Bulgaria",33 000 € (550 €/m 2 ) Не се начислява ДДС История на цената,60 кв.м,"Продава КЪЩА област София, с. Желен Обява: 1j178592253850614","+ток(+10), +вода(+10), +асфалт(+8), +панорама(+4), +двор(+4)",,https://www.imot.bg/obiava-1j178592253850614-prodava-kashta-oblast-sofiya-s-zhelen,"Продава се къща с двор в с. Желен, общ. Своге. Село Желен се намира само на 40 км. от София и на 7 км. от гр. Своге и на около 30 мин. пеша от ЖП Гара с. Желен. В селото и до имота има целогодишно живеещо население. Парцелът е с квадратура 594 кв.м.,..."
36,42.937214,24.010672,"v. Осиковица, област София, Bulgaria",35 000 € (412 €/m 2 ) Цената е с включено ДДС История на цената,85 кв.м,"Продава КЪЩА област София, с. Осиковица Обява: 1j178482949046079","+ток(+10), +вода(+10), +целогодишен достъп(+12), +двор(+4)",,https://www.imot.bg/obiava-1j178482949046079-prodava-kashta-oblast-sofiya-s-osikovitsa,"Продава се двуетажна къща с просторен двор в с. Осиковица Предлагаме за продажба двуетажна къща, разположена в спокойно и живописно село Осиковица, подходяща както за постоянно живеене, така и за вила. Разпределение: * Първи етаж   кухня с трапезария..."
36,42.865374,22.863978,"v. Цацаровци, област София, Bulgaria",43 500 € (544 €/m 2 ) Не се начислява ДДС История на цената,80 кв.м,"Продава КЪЩА област София, с. Цацаровци Обява: 1j178228170533430","+ток(+10), +вода(+10), +целогодишен достъп(+12), +двор(+4)",,https://www.imot.bg/obiava-1j178228170533430-prodava-kashta-oblast-sofiya-s-tsatsarovtsi,"Предлагаме за продажба къща с двор в с. Цацаровци, община Драгоман. Имотът е разположен в тих и живописен район и предлага отлична възможност за създаване на уютен дом извън градската среда. В парцела е изградена двуетажна къща с площ от 80 кв.м, как..."
36,42.99684,22.86854,"v. Калотина, област София, Bulgaria",45 000 € (1 000 €/m 2 ) Не се начислява ДДС История на цената,45 кв.м,"Продава ВИЛА област София, с. Калотина Обява: 1k175672756628158","+ток(+10), +вода(+10), +целогодишен достъп(+12), +панорама(+4)",,https://www.imot.bg/obiava-1k175672756628158-prodava-vila-oblast-sofiya-s-kalotina,"Местоположение: Вилна зона с.Калотина, Ново Бърдо Разстояние - 55 км от София Асфалтов път, Бърз достъп, Красива панорама Дворно място 520м2 облагородено с овощни дръвчета и два бора Строителство: Масивно,тухла,плоча,дървена дограма Разпределение:РЗП..."
35,42.9646966,22.7969547,"v. Долно ново село, област София, Bulgaria",37 000 € (463 €/m 2 ) Не се начислява ДДС История на цената,80 кв.м,"Продава КЪЩА област София, с. Долно ново село Обява: 1j178608260363616","+обзаведен(+15), +ток(+10), +вода(+10)",,https://www.imot.bg/obiava-1j178608260363616-prodava-kashta-oblast-sofiya-s-dolno-novo-selo,"Агенция за недвижими имоти ИСКЪР продава имот с четири спални, кухня с трапезария, баня с тоалетна, склад, тераса и красива дървена веранда, в село Долно Ново село в района на гр. Драгоман. Помещенията са разположени в две къщи една до друга. Имотът ..."
35,42.969296,23.29833,"v. Свидня, област София, Bulgaria",32 000 € (640 €/m 2 ) Не се начислява ДДС,50 кв.м,"Продава КЪЩА област София, с. Свидня махала Стоевци Обява: 1j172175889768234","+ток(+10), +вода(+10), +канализация(+10), +отопление(+5)",,https://www.imot.bg/obiava-1j172175889768234-prodava-kashta-oblast-sofiya-s-svidnya-mahala-stoevtsi,"7️⃣Seven Estate Даряваме 7% от ВСЕКИ наш комисион за благотворителни каузи. 📧 https://7estate.bg/ 7️⃣ Имаме привилегията да предложим на Вашето внимание двуетажна къща със страхотна панорамна гледка в община Своге. 📍Имотът се намира в с. Свидня, маха..."
34,42.6987,23.3219,"v. Брезе село Брезе, област София, Bulgaria",35 000 € (350 €/m 2 ) Не се начислява ДДС,100 кв.м,"Продава КЪЩА област София, с. Брезе село Брезе Обява: 1j170896057102737","+гараж(+10), +ток(+10), +вода(+10), +панорама(+4)",,https://www.imot.bg/obiava-1j170896057102737-prodava-kashta-oblast-sofiya-s-breze-selo-breze,"Продавам имот в село Брезе, представляващ дворно място от 1600 кв.м., заедно със стара жилищна сграда от 60 м2; стара жилищна сграда от 45 м2; селскостопанска постройка от 75 м2; селскостопанска постройка от 100 м2 и Масивен гараж от 25 м2. Имота се ..."
34,42.422207,23.995524,"v. Мухово, област София, Bulgaria",47 500 € (754 €/m 2 ) Не се начислява ДДС,63 кв.м,"Продава КЪЩА област София, с. Мухово Обява: 1j176397080798907","+ток(+10), +вода(+10), +канализация(+10), +двор(+4)",,https://www.imot.bg/obiava-1j176397080798907-prodava-kashta-oblast-sofiya-s-muhovo,"Sеcret Garden Real Estates, представя на вашето внимание за продажба къща със самостоятелен двор, разположена в живописното село Мухово, непосредствено до язовир Тополница. Къщата е на два етажа и има следното разпределение. **Първи етаж: две стаи, о..."
34,42.421757,23.995974,"v. Мухово, област София, Bulgaria",37 900 € (271 €/m 2 ) Не се начислява ДДС История на цената,140 кв.м,"Продава КЪЩА област София, с. Мухово Обява: 1j175681581092158","+гараж(+10), +ток(+10), +вода(+10), +панорама(+4)",,https://www.imot.bg/obiava-1j175681581092158-prodava-kashta-oblast-sofiya-s-muhovo,"Предлагаме на вашето внимание къща в с. Мухово с прекрасна панорама. На около 75 км. от София и 25 от АМ Тракия. Къщата е в регулацията на с. Мухово, на минути пеша от стената на яз. Тополница. Сградата е тухлена, със стоманобетонни плочи. РЗП 140 м2..."
32,42.960184,23.348232,"t. Своге, област София, Bulgaria",34 000 € (596 €/m 2 ) Цената е с включено ДДС,57 кв.м,"Продава КЪЩА област София, гр. Своге Обява: 1j174012775317978","+ток(+10), +вода(+10), +целогодишен достъп(+12)",,https://www.imot.bg/obiava-1j174012775317978-prodava-kashta-oblast-sofiya-gr-svoge,"Предлагам за продажба,къща близнак,находяща се в гр.Своге.На асфалтов път с целогодишен достъп и целогодишно ползване.На пешеходно разстояние от центъра да града,около 15 минути.Къщата се състой от остъклена тераса,преход към вестибюл и три обширни с..."
